iter	Passed	Remaining
466	715	817
467	717	815
468	718	813
469	719	811
470	720	809
471	721	807
472	722	805
473	723	802
474	724	800
475	724	797
476	725	795
477	726	793
478	727	791
479	728	789
480	729	787
481	730	784
482	731	782
483	732	780
484	733	778
485	733	776
486	734	773
487	735	771
488	736	769
489	737	767
490	738	765
491	738	762
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	744	750
498	745	748
499	745	745
500	746	743
501	747	741
502	748	739
503	749	737
504	750	735
505	751	733
506	752	731
507	752	729
508	753	727
509	754	724
510	755	722
511	756	720
512	757	718
513	758	716
514	758	714
515	759	712
516	760	710
517	761	708
518	762	706
519	763	704
520	764	702
521	765	700
522	766	698
523	767	696
524	767	694
525	768	692
526	769	690
527	770	688
528	771	686
529	772	684
530	773	682
531	773	680
532	774	678
533	775	676
534	776	674
535	777	672
536	777	670
537	778	668
538	779	666
539	780	664
540	781	663
541	782	661
542	783	659
543	784	657
544	785	655
545	786	653
546	786	651
547	787	649
548	788	647
549	789	645
550	790	643
551	790	641
552	791	640
553	792	638
554	793	636
555	794	634
556	795	632
557	796	630
558	797	629
559	798	627
560	799	625
561	800	623
562	801	621
563	802	619
564	802	618
565	803	616
566	804	614
567	805	612
568	806	610
569	807	608
570	807	607
571	808	605
572	809	603
573	810	601
574	813	601
575	817	601
576	818	600
577	819	598
578	820	596
579	821	594
580	822	593
581	823	591
582	824	589
583	825	588
584	827	587
585	829	585
586	830	584
587	831	582
588	832	580
589	833	579
590	834	577
591	835	575
592	836	573
593	836	572
594	837	570
595	838	568
596	840	567
597	841	566
598	843	564
599	844	562
600	845	561
601	846	559
602	847	557
603	848	555
604	848	554
605	849	552
606	850	550
607	851	548
608	852	547
609	852	545
610	853	543
611	854	541
612	856	540
613	860	541
614	862	540
615	863	538
616	865	537
617	866	535
618	867	533
619	868	532
620	869	530
621	871	529
622	873	528
623	875	527
624	876	525
625	877	524
626	878	522
627	879	520
628	880	519
629	881	517
630	882	515
631	883	514
632	884	512
633	886	511
634	888	510
635	889	508
636	890	507
637	891	505
638	892	504
639	893	502
640	894	500
641	895	499
642	896	497
643	896	495
644	898	494
645	899	492
646	900	491
647	901	489
648	902	487
649	902	486
650	903	484
651	904	482
652	905	481
653	906	479
654	907	478
655	908	476
656	909	474
657	910	473
658	911	471
659	912	470
660	914	468
661	918	468
662	923	469
663	924	467
664	925	466
665	926	464
666	928	463
667	930	462
668	932	461
669	933	459
670	934	458
671	935	456
672	936	454
673	937	453
674	937	451
675	938	449
676	939	448
677	942	447
678	943	446
679	946	445
680	947	443
681	948	442
682	950	441
683	951	439
684	952	437
685	953	436
686	954	435
687	956	433
688	958	432
689	965	433
690	968	433
691	970	431
692	973	431
693	975	430
694	976	428
695	977	427
696	978	425
697	979	423
698	980	422
699	981	420
700	983	419
701	984	417
702	986	416
703	988	415
704	989	413
705	990	412
706	991	410
707	992	409
708	993	407
709	994	406
710	995	404
711	996	403
712	997	401
713	998	399
714	1000	398
715	1001	397
716	1003	395
717	1004	394
718	1006	393
719	1007	391
720	1008	390
721	1009	388
722	1010	387
723	1011	385
724	1012	384
725	1014	383
726	1017	382
727	1018	380
728	1019	379
729	1020	377
730	1021	376
731	1022	374
732	1023	372
733	1024	371
734	1025	369
735	1026	368
736	1027	366
737	1028	365
738	1030	364
739	1032	362
740	1033	361
741	1034	359
742	1035	358
743	1035	356
744	1036	354
745	1037	353
746	1038	351
747	1039	350
748	1040	348
749	1041	347
750	1042	345
751	1044	344
752	1045	343
753	1046	341
754	1047	339
755	1048	338
756	1049	336
